#1	
double Load(8784,2)	
0	6070035
1	6070035
2	5998956.667
3	5906506.667
4	6114765
5	6368548.333
6	6202751.667
7	7362201.667
8	7854681.667
9	7453848.333
10	7662641.667
11	7176206.667
12	6964723.333
13	6595131.667
14	6248518.333
15	6569605
16	6304698.333
17	6302780
18	6751055
19	5890031.667
20	5622088.333
21	6042931.667
22	5981835
23	5977196.667
24	6144850
25	4623943.333
26	4709933.333
27	4521245
28	4844133.333
29	5101515
30	4895301.667
31	6026076.667
32	6264258.333
33	5624921.667
34	5584801.667
35	5029858.333
36	4881850
37	4532581.667
38	4228558.333
39	4177228.333
40	4138670
41	4029643.333
42	4435336.667
43	3835440
44	3848710
45	4438628.333
46	4363926.667
47	4679188.333
48	4534070
49	4237700
50	4316506.667
51	4143578.333
52	4439496.667
53	4675376.667
54	4486390
55	5522710
56	5740995
57	5155065
58	5118295
59	4609708.333
60	4474061.667
61	4153968.333
62	3875340
63	3828298.333
64	3792961.667
65	3693041.667
66	4064846.667
67	3515060
68	3527221.667
69	4067863.333
70	3999401.667
71	4288328.333
72	4155331.667
73	4518590
74	4465678.333
75	4396858.333
76	4551888.333
77	4740806.667
78	4617386.667
79	5480490
80	5847098.333
81	5548715
82	5704141.667
83	5342035
84	5184605
85	4909478.333
86	4651455
87	4890475
88	4693275
89	4691848.333
90	5025548.333
91	4384593.333
92	4185135
93	4498413.333
94	4452933.333
95	4449480
96	4574283.333
97	3943683.333
98	4017023.333
99	3856093.333
100	4131480
101	4350995
102	4175120
103	5139540
104	5342680
105	4797401.667
106	4763183.333
107	4289881.667
108	4163646.667
109	3865761.667
110	3606466.667
111	3562688.333
112	3529801.667
113	3436815
114	3782823.333
115	3271181.667
116	3282500
117	3785631.667
118	3721920
119	3990800
120	3867031.667
121	3568035
122	3634388.333
123	3488788.333
124	3737943.333
125	3936548.333
126	3777426.667
127	4649981.667
128	4833773.333
129	4340433.333
130	4309473.333
131	3881256.667
132	3767046.667
133	3497535
134	3262938.333
135	3223330
136	3193576.667
137	3109448.333
138	3422498.333
139	2959591.667
140	2969831.667
141	3425038.333
142	3367395
143	3610663.333
144	3498685
145	4019620
146	4094371.667
147	3930341.667
148	4211031.667
149	4434773.333
150	4255511.667
151	5238501.667
152	5445553.333
153	4889775
154	4854896.667
155	4372483.333
156	4243818.333
157	3940196.667
158	3675908.333
159	3631286.667
160	3597768.333
161	3502991.667
162	3855661.667
163	3334168.333
164	3345705
165	3858523.333
166	3793585
167	4067643.333
168	3941491.667
169	4767221.667
170	4711400
171	4638793.333
172	4802351.667
173	5001666.667
174	4871455
175	5782050
176	6168830
177	5854028.333
178	6018008.333
179	5635976.667
180	5469883.333
181	5179618.333
182	4907398.333
183	5159570
184	4951520
185	4950013.333
186	5302075
187	4625853.333
188	4415418.333
189	4745936.667
190	4697953.333
191	4694310
192	4825980
193	5226736.667
194	5165533.333
195	5085926.667
196	5265251.667
197	5483778.333
198	5341015
199	6339385
200	6763445
201	6418300
202	6598085
203	6179230
204	5997126.667
205	5678883.333
206	5380423.333
207	5656901.667
208	5428798.333
209	5427146.667
210	5813145
211	5071740
212	4841023.333
213	5203398.333
214	5150790
215	5146796.667
216	5291156.667
217	5566656.667
218	5501473.333
219	5416690
220	5607678.333
221	5840415
222	5688368.333
223	6751666.667
224	7203305
225	6835713.333
226	7027191.667
227	6581095
228	6387150
229	6048208.333
230	5730340
231	6024798.333
232	5781860
233	5780101.667
234	6191201.667
235	5401581.667
236	5155858.333
237	5541801.667
238	5485771.667
239	5481518.333
240	5635268.333
241	5285635
242	5223741.667
243	5143238.333
244	5324585
245	5545573.333
246	5401201.667
247	6410821.667
248	6839660
249	6490625
250	6672436.667
251	6248861.667
252	6064706.667
253	5742876.667
254	5441055
255	5720648.333
256	5489973.333
257	5488303.333
258	5878650
259	5128891.667
260	4895575
261	5262033.333
262	5208833.333
263	5204793.333
264	5350781.667
265	5672680
266	5606255
267	5519856.667
268	5714481.667
269	5951651.667
270	5796710
271	6880258.333
272	7340500
273	6965908.333
274	7161031.667
275	6706440
276	6508800
277	6163403.333
278	5839480
279	6139548.333
280	5891981.667
281	5890190
282	6309120
283	5504460
284	5254056.667
285	5647350
286	5590255
287	5585920
288	5742598.333
289	6104193.333
290	6032715
291	5939745
292	6149175
293	6404385
294	6237656.667
295	7403630
296	7898881.667
297	7495793.333
298	7705761.667
299	7216588.333
300	7003915
301	6632245
302	6283681.667
303	6606573.333
304	6340176.667
305	6338248.333
306	6789045
307	5923176.667
308	5653725
309	6076936.667
310	6015496.667
311	6010831.667
312	6179428.333
313	6569383.333
314	6430888.333
315	6467651.667
316	6548518.333
317	6811476.667
318	6450056.667
319	7536301.667
320	8114371.667
321	7277121.667
322	7768723.333
323	7640186.667
324	7369440
325	7190345
326	7041703.333
327	7109971.667
328	7028803.333
329	7097308.333
330	6966023.333
331	6665863.333
332	6379453.333
333	6838513.333
334	6542756.667
335	6580511.667
336	6901543.333
337	6835353.333
338	6691250
339	6729501.667
340	6813641.667
341	7087246.667
342	6711193.333
343	7841416.667
344	8442890
345	7571743.333
346	8083248.333
347	7949506.667
348	7667800
349	7481453.333
350	7326793.333
351	7397826.667
352	7313373.333
353	7384650
354	7248050
355	6935736.667
356	6637733.333
357	7115378.333
358	6807648.333
359	6846930
360	7180958.333
361	7234428.333
362	7081913.333
363	7122398.333
364	7211450
365	7501030
366	7103021.667
367	8299231.667
368	8935821.667
369	8013813.333
370	8555181.667
371	8413631.667
372	8115478.333
373	7918251.667
374	7754563.333
375	7829743.333
376	7740358.333
377	7815796.667
378	7671221.667
379	7340675
380	7025271.667
381	7530803.333
382	7205106.667
383	7246681.667
384	7600213.333
385	7409510
386	7253303.333
387	7294768.333
388	7385975
389	7682563.333
390	7274921.667
391	8500081.667
392	9152076.667
393	8207756.667
394	8762226.667
395	8617251.667
396	8311881.667
397	8109881.667
398	7942231.667
399	8019231.667
400	7927681.667
401	8004946.667
402	7856873.333
403	7518326.667
404	7195290
405	7713056.667
406	7379476.667
407	7422060
408	7784146.667
409	7013556.667
410	6865698.333
411	6904946.667
412	6991280
413	7272020
414	6886161.667
415	8045851.667
416	8663005
417	7769146.667
418	8293986.667
419	8156760
420	7867708.333
421	7676503.333
422	7517811.667
423	7590696.667
424	7504040
425	7577175
426	7437015
427	7116560
428	6810785
429	7300883.333
430	6985130
431	7025436.667
432	7368173.333
433	6927488.333
434	6781445
435	6820211.667
436	6905485
437	7182778.333
438	6801656.667
439	7947115
440	8556695
441	7673806.667
442	8192205
443	8056661.667
444	7771158.333
445	7582300
446	7425555
447	7497545
448	7411951.667
449	7484190
450	7345750
451	7029226.667
452	6727205
453	7211290
454	6899410
455	6939221.667
456	7277753.333
457	6689903.333
458	6548868.333
459	6586305
460	6668655
461	6936438.333
462	6568386.667
463	7674560
464	8263235
465	7410625
466	7911245
467	7780350
468	7504638.333
469	7322256.667
470	7170888.333
471	7240410
472	7157751.667
473	7227511.667
474	7093820
475	6788151.667
476	6496488.333
477	6963971.667
478	6662788.333
479	6701235
480	7028156.667
481	6450631.667
482	6314640
483	6350738.333
484	6430143.333
485	6688348.333
486	6333461.667
487	7400071.667
488	7967691.667
489	7145576.667
490	7628290
491	7502076.667
492	7236226.667
493	7060368.333
494	6914413.333
495	6981448.333
496	6901746.667
497	6969011.667
498	6840101.667
499	6545366.667
500	6264135
501	6714896.667
502	6424486.667
503	6461558.333
504	6776786.667
505	5970160
506	5900251.667
507	5809323.333
508	6014155
509	6263761.667
510	6100693.333
511	7241065
512	7725443.333
513	7331205
514	7536563.333
515	7058131.667
516	6850126.667
517	6486618.333
518	6145708.333
519	6461510
520	6200961.667
521	6199076.667
522	6639975
523	5793118.333
524	5529585
525	5943503.333
526	5883411.667
527	5878850
528	6043745
529	6175815
530	6103498.333
531	6009438.333
532	6221325
533	6479530
534	6310845
535	7490500
536	7991561.667
537	7583745
538	7796175
539	7301263.333
540	7086095
541	6710063.333
542	6357410
543	6684091.667
544	6414566.667
545	6412616.667
546	6868703.333
547	5992675
548	5720063.333
549	6148238.333
550	6086078.333
551	6081360
552	6251933.333
553	5752391.667
554	5685033.333
555	5597421.667
556	5794781.667
557	6035283.333
558	5878163.333
559	6976940
560	7443648.333
561	7063791.667
562	7261658.333
563	6800678.333
564	6600260
565	6250011.667
566	5921535
567	6225820
568	5974775
569	5972958.333
570	6397775
571	5581808.333
572	5327886.667
573	5726706.667
574	5668808.333
575	5664411.667
576	5823291.667
577	4587963.333
578	4673285
579	4486063.333
580	4806440
581	5061818.333
582	4857210
583	5979186.667
584	6215513.333
585	5581153.333
586	5541343.333
587	4990720
588	4843861.667
589	4497311.667
590	4195655
591	4144725
592	4106466.667
593	3998288.333
594	4400823.333
595	3805595
596	3818763.333
597	4404090
598	4329970
599	4642778.333
600	4498788.333
601	4408616.667
602	4490603.333
603	4310700
604	4618553.333
605	4863948.333
606	4667338.333
607	5745456.667
608	5972545
609	5362981.667
610	5324730
611	4795630
612	4654513.333
613	4321508.333
614	4031643.333
615	3982705
616	3945941.667
617	3841991.667
618	4228793.333
619	3656831.667
620	3669485
621	4231931.667
622	4160708.333
623	4461288.333
624	4322928.333
625	4519901.667
626	4466975
627	4398135
628	4553208.333
629	4742181.667
630	4618726.667
631	5482081.667
632	5848795
633	5550325
634	5705796.667
635	5343585
636	5186108.333
637	4910903.333
638	4652805
639	4891895
640	4694638.333
641	4693210
642	5027006.667
643	4385866.667
644	4186350
645	4499720
646	4454226.667
647	4450771.667
648	4575611.667
649	4788413.333
650	4732341.667
651	4659411.667
652	4823698.333
653	5023898.333
654	4893108.333
655	5807751.667
656	6196250
657	5880050
658	6044758.333
659	5661028.333
660	5494196.667
661	5202641.667
662	4929211.667
663	5182503.333
664	4973528.333
665	4972016.667
666	5325643.333
667	4646415
668	4435045
669	4767031.667
670	4718835
671	4715176.667
672	4847431.667
673	5659650
674	5593376.667
675	5507178.333
676	5701356.667
677	5937981.667
678	5783395
679	6864455
680	7323640
681	6949906.667
682	7144583.333
683	6691035
684	6493850
685	6149246.667
686	5826066.667
687	6125445
688	5878448.333
689	5876660
690	6294628.333
691	5491816.667
692	5241988.333
693	5634378.333
694	5577413.333
695	5573088.333
696	5729406.667
697	6618861.667
698	6479323.333
699	6516363.333
700	6597838.333
701	6862778.333
702	6498636.667
703	7593063.333
704	8175485
705	7331930
706	7827233.333
707	7697728.333
708	7424945
709	7244500
710	7094738.333
711	7163521.667
712	7081741.667
713	7150761.667
714	7018488.333
715	6716066.667
716	6427501.667
717	6890018.333
718	6592035
719	6630073.333
720	6953521.667
721	6957920
722	6811233.333
723	6850171.667
724	6935820
725	7214331.667
726	6831535
727	7982025
728	8594283.333
729	7707515
730	8228191.667
731	8092053.333
732	7805295
733	7615606.667
734	7458173.333
735	7530480
736	7444511.667
737	7517066.667
738	7378018.333
739	7060105
740	6756756.667
741	7242966.667
742	6929718.333
743	6969705
744	7309723.333
745	7105050
746	6955261.667
747	6995023.333
748	7082483.333
749	7366883.333
750	6975993.333
751	8150810
752	8776015
753	7870496.667
754	8402183.333
755	8263165
756	7970343.333
757	7776645
758	7615881.667
759	7689718.333
760	7601931.667
761	7676020
762	7534031.667
763	7209395
764	6899633.333
765	7396125
766	7076251.667
767	7117085
768	7464293.333
769	6605558.333
770	6466300
771	6503265
