#1	
double	Load(8760,2)
1	988.77
2	1026.78
3	1047.51
4	1023.32
5	1002.59
6	992.22
7	974.95
8	971.49
9	968.04
10	950.76
11	936.94
12	926.57
13	898.93
14	878.20
15	878.20
16	902.38
17	926.57
18	916.21
19	912.75
20	926.57
21	947.30
22	961.13
23	968.04
24	981.86
25	1009.50
26	1016.41
27	1026.78
28	1012.96
29	1012.96
30	999.13
31	1006.05
32	995.68
33	971.49
34	943.85
35	923.12
36	923.12
37	912.75
38	892.02
39	895.47
40	898.93
41	909.29
42	905.84
43	912.75
44	912.75
45	933.48
46	947.30
47	954.21
48	978.40
49	1026.78
50	1075.15
51	1095.89
52	1130.44
53	1161.54
54	1133.89
55	1161.54
56	1175.36
57	1192.64
58	1185.73
59	1144.26
60	1071.70
61	1054.42
62	1037.14
63	1050.97
64	1092.43
65	1133.89
66	1164.99
67	1178.81
68	1213.37
69	1247.92
70	1244.47
71	1268.65
72	1272.11
73	1292.84
74	1320.48
75	1337.76
76	1337.76
77	1337.76
78	1372.32
79	1393.05
80	1403.41
81	1393.05
82	1379.23
83	1327.40
84	1272.11
85	1203.00
86	1123.53
87	1123.53
88	1126.98
89	1182.27
90	1206.46
91	1244.47
92	1268.65
93	1289.39
94	1330.85
95	1341.22
96	1365.40
97	1420.69
98	1389.59
99	1410.32
100	1410.32
101	1417.24
102	1431.06
103	1462.16
104	1472.52
105	1458.70
106	1424.15
107	1403.41
108	1289.39
109	1258.29
110	1196.09
111	1147.72
112	1154.63
113	1178.81
114	1230.65
115	1268.65
116	1289.39
117	1313.57
118	1341.22
119	1372.32
120	1372.32
121	1355.04
122	1375.77
123	1413.78
124	1389.59
125	1431.06
126	1431.06
127	1427.60
128	1396.50
129	1327.40
130	1282.48
131	1216.82
132	1161.54
133	1130.44
134	1068.24
135	1044.05
136	1030.23
137	1009.50
138	1023.32
139	1006.05
140	1009.50
141	1006.05
142	981.86
143	999.13
144	981.86
145	985.31
146	978.40
147	964.58
148	957.67
149	968.04
150	964.58
151	964.58
152	961.13
153	961.13
154	954.21
155	936.94
156	923.12
157	905.84
158	895.47
159	895.47
160	892.02
161	892.02
162	895.47
163	888.56
164	888.56
165	892.02
166	892.02
167	888.56
168	881.65
169	892.02
170	881.65
171	892.02
172	902.38
173	909.29
174	902.38
175	895.47
176	892.02
177	888.56
178	881.65
179	874.74
180	881.65
181	881.65
182	888.56
183	909.29
184	909.29
185	916.21
186	936.94
187	930.03
188	926.57
189	930.03
190	936.94
191	943.85
192	943.85
193	957.67
194	961.13
195	968.04
196	971.49
197	988.77
198	995.68
199	999.13
200	1006.05
201	1016.41
202	1019.87
203	1016.41
204	1012.96
205	999.13
206	992.22
207	999.13
208	1006.05
209	1012.96
210	1009.50
211	1012.96
212	1016.41
213	1023.32
214	1030.23
215	1037.14
216	1044.05
217	1054.42
218	1061.33
219	1068.24
220	1071.70
221	1078.61
222	1082.06
223	1085.52
224	1092.43
225	1092.43
226	1092.43
227	1085.52
228	1071.70
229	1061.33
230	1061.33
231	1054.42
232	1044.05
233	1071.70
234	1071.70
235	1068.24
236	1075.15
237	1078.61
238	1078.61
239	1082.06
240	1088.97
241	1092.43
242	1095.89
243	1095.89
244	1088.97
245	1082.06
246	1075.15
247	1064.79
248	1057.88
249	1047.51
250	1044.05
251	1050.97
252	968.04
253	943.85
254	933.48
255	940.39
256	919.66
257	926.57
258	926.57
259	923.12
260	923.12
261	926.57
262	926.57
263	919.66
264	933.48
265	933.48
266	940.39
267	930.03
268	919.66
269	926.57
270	926.57
271	940.39
272	919.66
273	912.75
274	916.21
275	912.75
276	902.38
277	902.38
278	885.11
279	885.11
280	885.11
281	885.11
282	888.56
283	881.65
284	888.56
285	874.74
286	874.74
287	874.74
288	871.29
289	874.74
290	878.20
291	878.20
292	878.20
293	878.20
294	888.56
295	881.65
296	881.65
297	881.65
298	864.37
299	850.55
300	833.28
301	809.09
302	791.81
303	802.18
304	812.54
305	840.19
306	850.55
307	878.20
308	902.38
309	874.74
310	885.11
311	888.56
312	895.47
313	898.93
314	902.38
315	902.38
316	905.84
317	898.93
318	902.38
319	905.84
320	919.66
321	926.57
322	936.94
323	933.48
324	930.03
325	923.12
