#1
double COP(12,11)
0	35	45	55	60	65	70	75	80	85	90
0	4.2	3.5	3	2.7	2.5	2.3	2.1	2.1	0	0
5	4.7	3.9	3.2	3	2.7	2.5	2.3	2.1	0	0
10	5.3	4.3	3.6	3.3	3	2.7	2.5	2.3	2.1	1.9
15	6.1	4.8	3.9	3.6	3.3	3	2.7	2.5	2.3	2.1
20	0	5.5	4.4	4	3.6	3.3	3	2.7	2.4	2.2
25	0	6.2	4.9	4.4	4	3.6	3.2	2.9	2.7	2.3
30	0	0	5.5	4.9	4.4	4	3.6	3.2	2.9	2.5
35	0	0	6.2	5.5	4.9	4.3	4	3.3	3.2	2.7
40	0	0	0	6.3	5.5	4.9	4.4	3.7	3.5	3
45	0	0	0	0	6.2	5.5	4.9	4.1	3.9	3.3
50	0	0	0	0	0	5.7	5.1	4.3	4	3.3

double Pthermal(12,11)
0	35	45	55	60	65	70	75	80	85	90
0	144.9	134.1	121.5	114.9	108	100.5	93.3	0	0	0
5	176.6	164.3	150.2	142.4	134.3	125.7	117.3	107.3	0	0
10	212.4	198.6	182.4	173.7	164.1	154.5	144.3	134.1	123.9	113.4
15	253.8	238.2	219.6	209.4	198.6	187.2	175.8	164.1	151.8	139.2
20	0	282.9	261.9	250.2	237.9	225	211.8	197.7	183.6	168.9
25	0	333.9	309.6	296.4	282.6	267.6	252.3	236.1	219.6	194.2
30	0	0	364.2	348.9	332.7	316.2	298.2	280.2	261	230.8
35	0	0	424.8	407.7	389.7	372.3	351	315.3	308.1	272
40	0	0	0	473.7	454.1	433.7	410.6	367.7	361.8	319
45	0	0	0	0	526.8	503.4	479.1	428.3	424.2	374.3
50	0	0	0	0	0	534.6	508.8	455.3	451.8	390
